NUMBER	ENGLISH	SPANISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
53	MAN	hombre	1554	MAN
54	MEAT	carne	2615	FLESH OR MEAT
55	MEDICINE	medicina	1372	MEDICINE
56	METAL	metal	2244	METAL
57	MONEY	dinero	1559	MONEY
58	MOTHER	madre	1216	MOTHER
59	MOTHER VOCATIVE	mamá!	1216	MOTHER
60	MOUNTAIN OR HILL	monte	1683	BUSH
61	MOUTH	boca	674	MOUTH
62	MUD	lodo	640	MUD
63	MOUSE	ratón	1491	MOUSE
64	MUSHROOM	hongo	641	MUSHROOM
65	SONG	canción	1096	SONG
66	NEAR	cerca de, está cerca	1942	NEAR
67	NIGHT TIME	de noche		
68	NINE	nueve	1483	NINE
69	NOSE	nariz	1221	NOSE
70	NOW OR TODAY	ahora, hoy	1376	NOW
71	ONE	uno	1493	ONE
72	PAPER	papel, libro	648	PAPER
73	PATH	camino	2252	PATH
74	PIG	marrano	1337	PIG
75	PLATE	plato	480	PLATE
76	POOR	pobre	1674	POOR
77	POSSUM	tlacuache	470	POSSUM
78	PRICKLY PEAR CACTUS	nopal		
79	PRIEST	sacerdote	852	PRIEST
80	PUMPKIN	calabaza	411	GOURD
81	RABBIT	conejo	1136	RABBIT
82	RAIN (PRECIPITATION)	lluvia	658	RAIN (PRECIPITATION)
83	RED	rojo	156	RED
84	RICH	rico	712	RICH
85	ROOSTER	gallo	1511	ROOSTER
86	ROPE	mecate	1218	ROPE
87	SALT	sal	1274	SALT
88	SALTY	salado	1091	SALTY
89	SCORPION	alacrán	1538	SCORPION
90	SEVEN	siete	1704	SEVEN
91	SHEEP	borrego	1331	SHEEP
92	SIX	seis	1703	SIX
93	SLOW	despacio	701	SLOW
94	SMALL (SINGULAR)	chico.SG	1246	SMALL
95	SNAKE	culebra	730	SNAKE
96	STONE OR ROCK	piedra	857	STONE
97	SUGAR CANE	caña	146	SUGAR CANE
98	TASTY	sabroso	1813	TASTY
99	TEN	diez	1515	TEN
100	THREAD	hilo, hilado	1161	THREAD
101	THREE	tres	492	THREE
102	TOMATO	jitomate	986	TOMATO
103	TORTILLA	tortilla		
104	TOWN OR VILLAGE	pueblo	930	VILLAGE
105	TREE	árbol, palo	906	TREE
106	TWENTY	veinte	1710	TWENTY
107	TWO	dos	1498	TWO
108	UGLY	feo, bravo	1548	UGLY
109	WATER	agua	948	WATER
110	WHEN	cuándo	1238	WHEN
111	WHITE	blanco	1335	WHITE
112	WING	ala	1257	WING
113	WOMAN	mujer	962	WOMAN
114	WORD	palabra	1599	WORD
115	WORKING OR WORK	trabajo	984	WORK (LABOUR)
116	YEAR	año	1226	YEAR
117	YELLOW	amarillo	1424	YELLOW
118	YESTERDAY	ayer	1174	YESTERDAY
119	AUNT	aunt	1272	AUNT
120	BASKET	basket	1539	BASKET
121	BEAN	bean	832	BEAN
122	BEESWAX	wax	1931	BEESWAX
123	CHARCOAL	charcoal	1188	CHARCOAL
124	CHILI PEPPER	chili pepper	919	CHILI PEPPER
125	CLOTH	cloth	1616	CLOTH
126	CLOUD	cloud	1489	CLOUD
127	COTTON	cotton	1850	COTTON
128	CUSTARD APPLE	custard apple		
129	DAUGHTER	daughter	1357	DAUGHTER
130	DAY (NOT NIGHT)	day time	1225	DAY (NOT NIGHT)
131	EAR	ear	1247	EAR
132	EAR OF CORN (FRESH)	fresh ear of corn		
133	BLAME	sin	381	BLAME
134	FIRE	fire	221	FIRE
135	GOURD BOWL	gourd bowl		
136	HAIR	hair	1040	HAIR
137	HALF	half, middle	816	HALF
138	HORSE	horse	615	HORSE
139	LAZY	lazy	1564	LAZY
140	MOON	moon	1313	MOON
141	NECK	neck	1333	NECK
142	NETBAG	net bag	293	NETBAG
143	NIGHT	night	1233	NIGHT
144	OWNER	owner	1036	OWNER
145	RAW	raw	1959	RAW
146	RIVER	river	666	RIVER
147	SANDAL	sandal, sandals		
148	SISTER (OF WOMAN)	sister of woman	1263	SISTER
149	SWEET	sweet	717	SWEET
150	TAIL	tail	1220	TAIL
151	UNCLE	uncle	1327	UNCLE
152	ANT	hormiga	587	ANT
153	ASH	ceniza	646	ASH
154	BED	cama, lecho	1663	BED
155	BEE	abeja	665	BEE
156	BIG	grande cosa	1202	BIG
157	BITTER	amarga cosa	887	BITTER
158	BLOOD	sangre	946	BLOOD
159	BLOUSE (WOVEN)	huipil		
160	COLD	frío	1287	COLD
161	COMB	peine	1475	COMB
162	DREAM	sueño	1920	DREAM (SOMETHING)
163	DUST	polvo	2	DUST
164	FEATHER	pluma de aue pequeña	1201	FEATHER
165	FOAM	espuma	1768	FOAM
166	FROG	rana	503	FROG
167	FURROW	surco de arado	1794	FURROW
168	GARBAGE	basura	909	GARBAGE
169	GREEN	color verde	1425	GREEN
170	GRIDDLE	comal		
171	HONEY	miel	942	HONEY
172	INTESTINES	tripa, tripas	1251	BELLY
173	JEALOUS	celoso	2821	JEALOUS
174	LONG	largo como cordel o palo	1203	LONG
175	LIGHTNING	rayo del cielo	1654	LIGHTNING
176	MAMEY OR ZAPOTE	mamey, zapote		
177	MAT	petate	195	MAT
178	IRON	hierro metal	621	IRON
179	NET	red	388	FISHNET
180	NEW	nuevo	1231	NEW
181	OVEN	horno	1143	OVEN
182	PIMPLE	grano	605	GRAIN
183	PLAIN	llanura de campo	652	PLAIN
184	PUS	materia, podre	1808	PUS
185	RING	anillo	1374	RING
186	ROOT	raíz	670	ROOT
187	SKUNK	zorrillo		
188	SMOKE (EXHAUST)	humo	778	SMOKE (EXHAUST)
189	SMOOTH	lisa cosa	1234	SMOOTH
190	SOAP	jabón	788	SOAP
191	SON	hijo	1620	SON
192	STOOL	silla	1476	CHAIR
193	SWELLING	hinchazón	1903	SWELLING
194	TASSEL	espiga de trigo		
195	THORN	espina	124	THORN
196	TONGUE	lengua	1205	TONGUE
197	TOOTH	diente	1380	TOOTH
198	URINE	orina	1142	URINE
199	WIDE	ancha cosa como estera	1243	WIDE
200	BOX OR CHEST	cajón	1592	CHEST
201	TORTILLA CLOTH	servilleta		
202	COCKROACH	cucaracha	1575	COCKROACH
203	CORN DOUGH	masa	273	DOUGH
204	CORN STALK	rastrojo		
205	FINGERNAIL	uña	1258	FINGERNAIL
206	GREEN BEAN	ejote, vaina		
207	HAWK	gavilán	1865	BUZZARD
208	MUROID (MOUSE OR RAT)	ratón, rata	2139	MUROID (MOUSE OR RAT)
209	NIXTAMAL	nixtamal		
210	POST	horcón	281	POST
211	RACCOON	mapache	828	RACCOON
212	SMALL (PLURAL)	pequeño.PL	1246	SMALL
213	SQUIRREL	ardilla	1628	SQUIRREL
214	SWEET POTATO	camote	159	SWEET POTATO
215	VULTURE	zopilote	1185	VULTURE
216	BROTHER	hermano, hermanastro	1262	BROTHER
217	HERBACEOUS PLANT	hierba, hoja	628	LEAF
218	MAGUEY	maguey, verdura		
219	MAMEY	mamey		
220	ZAPOTE	zapote		
221	MUSIC	música	642	MUSIC
222	SISTER	hermana, hermanastra	1263	SISTER
223	TROUSERS	pantalón	809	TROUSERS
224	CHICKEN	pollo	1318	CHICKEN
225	THUNDER	truena	1150	THUNDER
226	RAT	rata	1490	RAT
227	CLOTHES	ropa	1895	CLOTHES
228	ZAPOTE (BLACK)	zapote negro		
229	FATHER VOCATIVE	father!, dad!	1217	FATHER
230	IMPORTANT	important	1285	IMPORTANT
231	LEAF	leaf	2250	LEAF (LEAFLIKE OBJECT)
232	WEED	weeds	3288	WEED
233	FODDER	forraje	3046	FODDER
234	SLEEPY	sueño	3620	SLEEPY
235	CLAY	barro	640	MUD
236	LOOSE	flojo (una cosa amarrado)	2506	LOOSE
237	MEZZANINE	altillo		
238	SHIRT	camisa	1622	SHIRT
239	COFFIN	ataúd	2011	COFFIN
240	HOUSE (SMALL)	casita	1252	HOUSE
241	PLANTED FIELD	planted field		
242	WATTLE	cañizo		
243	MEADOW FESCUE	cañuela		
244	CORN HUSK	chala	3686	CORN HUSK
245	CORN COB	mazorca		
246	TADPOLE	renacuajo		
247	TOAD	sapo	894	TOAD
248	TUBE	caños	2956	TUBE
249	POULTRY MANURE	cuita		
250	EAGLE	á́guila	1905	EAGLE
251	HAWK OR EAGLE	gavilucha	307	HAWK
252	FALCON	halcón	3258	FALCON
253	FIELD	campo	212	FIELD
254	HILL WITH GRASS	monte	1683	BUSH
255	SUGAR CANE HONEY	miel de caña		
256	INSIDE (PERSON)	dentro	1606	INSIDE
257	STOMACH	estómago	819	STOMACH
258	BRAND	insignia, marca		
259	HAMMOCK	hamaca	2019	HAMMOCK
260	BARBECUE	barbacoa		
261	SMALLPOX	viruela	1054	SMALLPOX
262	LEG	pierna	1297	LEG
263	THICK	espeso	1244	THICK
264	NEUTRAL (TASTE)	neutral		
265	HORSE SHOE	herradura		
266	SLIPPERY	resbala	3702	SLIPPERY
267	ALTAR	altar	853	ALTAR
268	SADDLE	montura	3065	SADDLE
269	BROWN SUGAR LOAF	panela		
270	LUSH	frondoso		
271	LIQUID	liquid	58	LIQUID
272	FLASH	flash		
273	HERB	herb, medicine		
274	BELL	campana	2246	BELL
275	SWEET	dulce	717	SWEET
276	SISTER (OF MAN)	hermana de hombre		
277	GAVILUCHA	gavilucha		
278	SMALL	pequeño	1246	SMALL
279	FOREST	bosque	420	FOREST

